site_name,component,state,country,operational_status,latitude,longitude
Scott AFB,AF Active,Illinois,United States,Active,38.5414818076,-89.8537036559
NG Camp Gruber,Army Guard,Oklahoma,United States,Active,35.6982004144,-95.1672665598
NG Mead TS/FMS 06/Utes 02,Army Guard,Nebraska,United States,Active,41.1935295586,-96.4384536797
NG Greenlief TS/UTES 01,Army Guard,Nebraska,United States,Active,40.5459251377,-98.2756208599
NG Silver Bell Army Heliport,Army Guard,Arizona,United States,Active,32.5228718308,-111.333461822
NG Camp Villere,Army Guard,Louisiana,United States,Active,30.3233531244,-89.8085256308
NG New Castle Readiness Center/FMS 9,Army Guard,Pennsylvania,United States,Active,40.9793982663,-80.3247870434
NG Saginaw,Army Guard,Texas,United States,Active,32.8550925586,-97.3503623315
NG Bremerton,Army Guard,Washington,United States,Active,47.552709639,-122.681322245
Target B-17,Navy Active,Nevada,United States,Active,39.2058446774,-118.232177679
Camp Morena,Navy Active,California,United States,Active,32.7116634719,-116.518554891
Upper Yard Annapolis,Navy Active,Maryland,United States,Active,38.9886655979,-76.4943484486
Yankee Target Range,Navy Active,Texas,United States,Active,28.2458871657,-98.724210101
Twin Cities AAP,Army Active,Minnesota,United States,Inactive,45.0981520846,-93.1742357902
Presidio of Monterey,Army Active,California,United States,Active,36.6032534708,-121.912105279
Fort Buchanan,Army Reserve,Puerto Rico,Puerto Rico,Active,18.4127920097,-66.1214794902
Fire Fighters School,Navy Active,Virginia,United States,Active,36.9215240082,-76.322723548
Magazine Reservoir Naval Magazine,Navy Active,Guam,Guam,Active,13.3903260139,144.686307577
Arnold,AF Active,Tennessee,United States,Active,35.3646392145,-86.0796716743
Eglin AFB Site 2 Santa Rosa Island,AF Active,Florida,United States,Active,30.394460792,-86.7427418884
Poinsett Range,AF Active,South Carolina,United States,Active,33.7961254892,-80.4817960181
Whiteman AFB,AF Active,Missouri,United States,Active,38.7299115089,-93.5553845227
Niagara Falls,AF Reserve,New York,United States,Active,43.1132212142,-78.9500571676
Cusick Survival Training Site,AF Active,Washington,United States,Active,48.4515209628,-117.373850327
Truax ANGB,AF Guard,Wisconsin,United States,Active,43.1306561021,-89.3361064283
Ellington Field,AF Guard,Texas,United States,Active,29.6160801417,-95.1704814148
Lincoln Map,AF Guard,Nebraska,United States,Active,40.841020615,-96.7538721771
JBSA Sam Houston,AF Active,Texas,United States,Active,29.4595308379,-98.4407138221
NG McConnelsville Training Site,Army Guard,Ohio,United States,Active,39.6614390075,-81.8394982857
NG St Cloud AASF,Army Guard,Minnesota,United States,Active,45.5390766509,-94.0557892236
NG Camp Pendleton SMR,Army Guard,Virginia,United States,Active,36.8161399548,-75.9791524396
NG Jackson Airport Armory,Army Guard,Tennessee,United States,Active,35.5981462433,-88.9129589106
ALF Cabaniss,Navy Active,Texas,United States,Active,27.7013359207,-97.4363492634
San Nicolas Island,Navy Active,California,United States,Active,33.2479609439,-119.506113048
NAS Whiting Field Milton FL,Navy Active,Florida,United States,Active,30.7137475905,-87.0201884489
Fort Campbell TN,Army Active,Tennessee,United States,Active,36.596494345,-87.599046902
Arlington National Cemetery,Army Active,Virginia,United States,Active,38.8778215838,-77.0690379263
Fort McCoy,Army Reserve,Wisconsin,United States,Active,44.0335308735,-90.6765636531
Fort Lesley J McNair,Army Active,District of Columbia,United States,Active,38.8671698257,-77.016494005
Helemano Military Reservation,Army Active,Hawaii,United States,Active,21.5359637869,-158.019432628
USA Field Station Kunia,Army Active,Hawaii,United States,Active,21.4768147455,-158.052424245
Twentynine Palms,MC Active,California,United States,Active,34.461945779,-116.210925972
